,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,RU,59.7035,30.7861,70.88,56,94,6.82,overcast clouds
1,Batticaloa,LK,7.7102,81.6924,82.44,74,100,4.54,moderate rain
2,Labuhan,ID,-6.8844,112.2051,79.25,77,55,9.06,broken clouds
3,Bengkulu,ID,-3.8004,102.2655,79.16,83,87,2.75,overcast clouds
4,San Andres,CO,12.5847,-81.7006,84.22,79,40,9.22,scattered clouds
5,Srednekolymsk,RU,67.45,153.6833,43.86,72,8,12.44,clear sky
6,Punta Arenas,CL,-53.15,-70.9167,41.11,87,100,23.02,moderate rain
7,Bluff,NZ,-46.6,168.3333,47.8,77,100,10.74,overcast clouds
8,Jamestown,US,42.097,-79.2353,76.17,72,100,16.11,overcast clouds
9,Taltal,CL,-25.4,-70.4833,63.37,65,65,5.97,broken clouds
10,Vicuna,CL,-30.0319,-70.7081,47.93,39,75,3.53,broken clouds
11,Coos Bay,US,43.3665,-124.2179,57.99,99,100,4.61,mist
12,Vaini,TO,-21.2,-175.2,73.56,94,75,6.91,broken clouds
13,Bethel,US,41.3712,-73.414,82.54,78,20,6.91,few clouds
14,Hilo,US,19.7297,-155.09,75.27,87,0,5.75,clear sky
15,Mar Del Plata,AR,-38.0023,-57.5575,49.08,94,75,20.71,broken clouds
16,Touros,BR,-5.1989,-35.4608,82.42,65,20,16.04,few clouds
17,Lebu,CL,-37.6167,-73.65,49.78,79,0,7.27,clear sky
18,Papetoai,PF,-17.4961,-149.8729,76.59,71,7,24.43,clear sky
19,Shepsi,RU,44.0361,39.1489,76.64,66,0,8.32,clear sky
20,Rikitea,PF,-23.1203,-134.9692,73.44,65,0,20.54,clear sky
21,Ushuaia,AR,-54.8,-68.3,44.26,65,75,9.22,broken clouds
22,Lamar,US,33.6668,-95.5836,88.99,62,0,10.36,clear sky
23,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,88.23,29,10,3.98,clear sky
24,New Norfolk,AU,-42.7826,147.0587,44.1,82,68,1.01,broken clouds
25,Dukat,RU,62.55,155.55,48.09,57,100,1.34,overcast clouds
26,Lazaro Cardenas,MX,17.9583,-102.2,76.95,88,96,2.75,overcast clouds
27,Komsomolskiy,UZ,40.4272,71.7189,93.92,22,17,4.61,few clouds
28,Paamiut,GL,61.994,-49.6678,41.49,91,26,19.1,scattered clouds
29,Saint-Philippe,RE,-21.3585,55.7679,73.22,78,52,8.88,broken clouds
30,Cape Town,ZA,-33.9258,18.4232,69.35,54,0,6.91,clear sky
31,Busselton,AU,-33.65,115.3333,62.6,82,18,16.6,few clouds
32,Geraldton,AU,-28.7667,114.6,59.41,88,95,9.22,overcast clouds
33,Soyo,AO,-6.1349,12.3689,75.4,68,75,10.13,broken clouds
34,Mataura,NZ,-46.1927,168.8643,47.48,98,100,2.77,overcast clouds
35,Carnarvon,AU,-24.8667,113.6333,70.52,59,100,8.03,overcast clouds
36,Port Alfred,ZA,-33.5906,26.891,70.18,73,12,5.99,few clouds
37,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,47,0,11.5,clear sky
38,Barrow,US,71.2906,-156.7887,33.06,97,100,12.66,overcast clouds
39,Samur,RU,41.8253,48.486,78.49,57,15,7.02,few clouds
40,Atuona,PF,-9.8,-139.0333,76.77,75,60,24.07,broken clouds
41,Paita,PE,-5.0892,-81.1144,65.68,78,63,12.68,broken clouds
42,Xuddur,SO,4.1213,43.8894,87.03,32,59,19.86,broken clouds
43,Atbasar,KZ,51.8,68.3333,69.94,71,100,13.33,light rain
44,Bambous Virieux,MU,-20.3428,57.7575,71.22,75,19,9.62,few clouds
45,Puerto Ayora,EC,-0.7393,-90.3518,71.56,88,100,11.9,overcast clouds
46,Bali,ID,-8.5,115.0,77.97,89,100,5.77,overcast clouds
47,Ponta Do Sol,PT,32.6667,-17.1,81.72,70,0,0.96,clear sky
48,Dunedin,NZ,-45.8742,170.5036,43.81,79,100,13.0,overcast clouds
49,Kurilsk,RU,45.2333,147.8833,54.01,95,79,4.65,broken clouds
50,Dingle,PH,10.9995,122.6711,78.06,88,100,5.73,moderate rain
51,Kargopol,RU,61.5071,38.9456,71.82,86,84,3.98,broken clouds
52,Alvarado,MX,18.7667,-95.7667,77.32,88,100,3.96,overcast clouds
53,Hasaki,JP,35.7333,140.8333,81.0,89,100,10.63,overcast clouds
54,Portree,GB,57.4129,-6.1942,63.52,73,100,1.48,overcast clouds
55,Chicama,PE,-7.8447,-79.1469,57.74,74,46,6.64,scattered clouds
56,Qaanaaq,GL,77.484,-69.3632,38.68,72,12,0.85,few clouds
57,Albany,US,42.6001,-73.9662,81.43,69,6,3.22,clear sky
58,Hervey Bay,AU,-25.2986,152.8535,56.01,85,0,3.0,clear sky
59,Cherskiy,RU,68.75,161.3,46.33,64,100,6.42,overcast clouds
60,Airai,TL,-8.9266,125.4092,54.34,87,39,4.38,scattered clouds
61,East London,ZA,-33.0153,27.9116,70.14,74,5,24.2,clear sky
62,Arman,RU,59.7,150.1667,53.02,95,100,4.54,overcast clouds
63,Merrill,US,45.1805,-89.6835,62.89,78,75,10.36,broken clouds
64,Salalah,OM,17.0151,54.0924,78.89,89,75,8.05,broken clouds
65,Longyearbyen,SJ,78.2186,15.6401,42.64,75,40,20.71,scattered clouds
66,Wesel,DE,51.6667,6.6167,78.93,13,100,8.34,overcast clouds
67,Broken Hill,AU,-31.95,141.4333,48.31,48,14,5.08,few clouds
68,Ust-Nera,RU,64.5667,143.2,63.77,54,83,4.68,broken clouds
69,Newport,GB,51.5877,-2.9984,73.62,67,96,8.41,overcast clouds
70,Mount Gambier,AU,-37.8333,140.7667,42.26,89,19,2.64,few clouds
71,Saskylakh,RU,71.9167,114.0833,67.75,54,100,3.74,overcast clouds
72,Namatanai,PG,-3.6667,152.4333,79.75,79,86,10.74,overcast clouds
73,Cabo San Lucas,MX,22.8909,-109.9124,81.52,76,16,4.59,few clouds
74,Cidreira,BR,-30.1811,-50.2056,70.38,72,100,5.7,light rain
75,Pingxiang,CN,27.6167,113.85,79.57,90,100,1.36,overcast clouds
76,Witu,KE,-2.3889,40.4382,77.43,68,46,13.62,scattered clouds
77,Werda,BW,-25.2667,23.2833,77.67,19,39,16.78,scattered clouds
78,Khatanga,RU,71.9667,102.5,68.32,51,47,7.65,scattered clouds
79,Pleasanton,US,37.6624,-121.8747,61.12,88,20,6.91,few clouds
80,Ossora,RU,59.2353,163.0719,49.62,81,94,3.49,overcast clouds
81,Kilemary,RU,56.7783,46.8659,77.47,52,89,3.51,overcast clouds
82,Sitka,US,57.0531,-135.33,57.09,94,100,4.61,light rain
83,Melfi,IT,40.9965,15.6514,93.2,25,0,13.11,clear sky
84,Olga,RU,43.7444,135.2892,65.97,98,100,1.21,overcast clouds
85,Hithadhoo,MV,-0.6,73.0833,81.59,77,99,12.77,overcast clouds
86,Trairi,BR,-3.2778,-39.2689,86.5,47,89,12.82,overcast clouds
87,Paris,FR,48.8534,2.3488,83.37,35,0,6.91,clear sky
88,Hobart,AU,-42.8794,147.3294,44.46,79,40,9.22,scattered clouds
89,Svetlogorsk,BY,52.6333,29.7333,71.49,53,87,4.9,overcast clouds
90,Constitucion,CL,-35.3333,-72.4167,51.94,67,0,7.63,clear sky
91,Abha,SA,18.2164,42.5053,77.25,50,40,10.36,scattered clouds
92,Ancud,CL,-41.8697,-73.8203,44.87,87,90,0.4,overcast clouds
93,Yulara,AU,-25.2406,130.9889,51.66,24,100,9.57,overcast clouds
94,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,68.34,62,100,15.28,overcast clouds
95,Cayenne,GF,4.9333,-52.3333,87.84,22,20,4.61,few clouds
96,Banda Aceh,ID,5.5577,95.3222,79.79,83,100,10.13,overcast clouds
97,Rongcheng,CN,30.634,117.8517,75.9,93,100,4.72,overcast clouds
98,Russkaya Polyana,UA,49.417,31.9201,80.24,38,89,7.78,overcast clouds
99,Zheleznodorozhnyy,RU,55.7503,38.0042,74.75,48,99,8.88,overcast clouds
100,Sabzevar,IR,36.2126,57.6819,99.52,15,13,14.9,few clouds
101,Pangody,RU,65.85,74.4859,68.76,57,90,8.32,overcast clouds
102,Saint George,US,37.1041,-113.5841,76.78,75,55,1.99,broken clouds
103,Ihiala,NG,5.8538,6.8603,73.02,93,100,9.31,light rain
104,Isangel,VU,-19.55,169.2667,74.57,89,100,7.23,overcast clouds
105,Dingtao,CN,35.0683,115.5625,75.06,90,20,5.37,few clouds
106,Tura,IN,25.5198,90.2201,75.06,93,87,2.91,overcast clouds
107,Zavolzhsk,RU,57.4823,42.1378,77.9,61,98,8.9,overcast clouds
108,Georgetown,MY,5.4112,100.3354,85.95,81,20,2.3,heavy intensity rain
109,Severo-Kurilsk,RU,50.6789,156.125,51.84,92,5,6.96,clear sky
